name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi96Z19BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi96Z19BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi96Z19BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,
wap_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi93YXBfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi93YXBfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi93YXBfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,
vas_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi92YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi92YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/vas_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi92YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,
va_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi92YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi92YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi92YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,
uas_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi91YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi91YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/uas_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi91YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,
ua_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi91YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi91YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi91YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,
ts_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90c19BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90c19BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90c19BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,
tauv_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXV2X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXV2X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauv_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXV2X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,
tauu_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXV1X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXV1X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauu_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXV1X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,
tas_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tas_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YXNfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,
ta_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ta_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi90YV9BbW9uX2VjaGFtNi0zX0FxdWE0eENPMl9yMWkxcDFfMDA0NjAxLTAwODUxMi5uYw%3D%3D,
sfcWind_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9zZmNXaW5kX0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9zZmNXaW5kX0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/sfcWind_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9zZmNXaW5kX0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,
rsutcs_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9yc3V0Y3NfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9yc3V0Y3NfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsutcs_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9yc3V0Y3NfQW1vbl9lY2hhbTYtM19BcXVhNHhDTzJfcjFpMXAxXzAwNDYwMS0wMDg1MTIubmM%3D,
rsut_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9yc3V0X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9yc3V0X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsut_Amon_echam6-3_Aqua4xCO2_r1i1p1_004601-008512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMy9BcXVhNHhDTzIvQW1vbi9yc3V0X0Ftb25fZWNoYW02LTNfQXF1YTR4Q08yX3IxaTFwMV8wMDQ2MDEtMDA4NTEyLm5j,
