name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3pnX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3pnX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3pnX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
wap_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3dhcF9BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3dhcF9BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3dhcF9BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
vas_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Zhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Zhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/vas_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Zhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
va_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3ZhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3ZhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3ZhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
uas_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Vhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Vhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/uas_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Vhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
ua_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3VhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3VhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3VhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
ts_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RzX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RzX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RzX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
tauv_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauv_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
tauu_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauu_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
tas_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Rhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Rhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tas_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3Rhc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
ta_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ta_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3RhX0Ftb25fSVBTTC1DTTVBX0xhbmRDb250cm9sX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
sfcWind_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3NmY1dpbmRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3NmY1dpbmRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/sfcWind_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3NmY1dpbmRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
rsutcs_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXRjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXRjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsutcs_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXRjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
rsut_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsut_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
rsuscs_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXNjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXNjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsuscs_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXNjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
rsus_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXNfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXNfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsus_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzdXNfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
rsdt_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzZHRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzZHRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsdt_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzZHRfQW1vbl9JUFNMLUNNNUFfTGFuZENvbnRyb2xfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
rsdscs_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzZHNjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzZHNjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsdscs_Amon_IPSL-CM5A_LandControl_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9MYW5kQ29udHJvbC9BbW9uL3JzZHNjc19BbW9uX0lQU0wtQ001QV9MYW5kQ29udHJvbF9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
